Filename,Actual word
Image 137.png,террором
Image 138.png,заложило
Image 139.png,основы
Image 140.png,автократического
Image 141.png,стиля
Image 142.png,правления
Image 143.png,характерного
Image 144.png,России
Image 145.png,века
Image 146.png,вперёд
Image 147.png,Династия
Image 148.png,Романовых
Image 149.png,начавшаяся
Image 150.png,руководила
Image 151.png,масштабным
Image 152.png,расширением
Image 153.png,территории
Image 154.png,России
Image 155.png,продвигая
Image 156.png,границы
Image 157.png,восток
Image 158.png,через
Image 159.png,Сибирь
Image 160.png,Тихому
Image 161.png,океану
Image 162.png,Чёрному
Image 163.png,морю
Image 164.png,Кавказу
Image 165.png,Петре
Image 166.png,Великом
Image 167.png,конце
Image 168.png,начале
Image 169.png,веков
Image 170.png,Россия
Image 171.png,пережила
Image 172.png,резкую
Image 173.png,вестернизацию
Image 174.png,Пётр
Image 175.png,ввёл
Image 176.png,новые
Image 177.png,административные
Image 178.png,системы
Image 179.png,реформировал
Image 180.png,армию
Image 181.png,основал
Image 182.png,СанктПетербург
Image 183.png,окно
Image 184.png,Европу
Image 185.png,усилия
Image 186.png,превратили
Image 187.png,Россию
Image 188.png,ведущую
Image 189.png,европейскую
Image 190.png,державу
Image 191.png,хотя
Image 192.png,ценой
Image 193.png,социальных
Image 194.png,потрясений
Image 195.png,течение
Image 196.png,века
Image 197.png,Россия
Image 198.png,оставалась
Image 199.png,парадоксальной
Image 200.png,империей
Image 201.png,могущественной
Image 202.png,отсталой
Image 203.png,огромным
Image 204.png,крестьянским
Image 205.png,населением
Image 206.png,прикреплённым
Image 207.png,земле
Image 208.png,время
Image 209.png,Европа
Image 210.png,стремительно
Image 211.png,индустриализировалась
Image 212.png,Отмена
Image 213.png,крепостного
Image 214.png,права
Image 215.png,Александром
Image 216.png,стала
Image 217.png,важной
Image 218.png,социальной
Image 219.png,реформой
Image 220.png,решила
Image 221.png,глубокие
Image 222.png,социальные
Image 223.png,экономические
Image 224.png,проблемы
Image 225.png,Конец
Image 226.png,начало
Image 227.png,веков
Image 228.png,были
Image 229.png,отмечены
Image 230.png,политическими
Image 231.png,волнениями
Image 232.png,революционными
Image 233.png,идеями
Image 234.png,растущим
Image 235.png,недовольством
Image 236.png,самодержавием
Image 237.png,Первая
Image 238.png,мировая
Image 239.png,война
Image 240.png,оказалась
Image 241.png,катастрофической
Image 242.png,Российской
Image 243.png,империи
Image 244.png,приведя
Image 245.png,огромным
Image 246.png,военным
Image 247.png,потерям
Image 248.png,экономическому
Image 249.png,краху
Image 250.png,массовому
Image 251.png,голоду
Image 252.png,революции
Image 253.png,потрясли
Image 254.png,Россию
Image 255.png,основания
Image 256.png,Февральская
Image 257.png,революция
Image 258.png,заставила
Image 259.png,Николая
Image 260.png,отречься
Image 261.png,престола
Image 262.png,положив
Image 263.png,конец
Image 264.png,многовековому
Image 265.png,правлению
Image 266.png,Романовых
Image 267.png,Временное
Image 268.png,правительство
Image 269.png,пыталось
Image 270.png,установить
Image 271.png,демократию
Image 272.png,было
Image 273.png,свергнуто
Image 274.png,большевиками
Image 275.png,Октябрьской
Image 276.png,революции
Image 277.png,руководством
Image 278.png,Владимира
Image 279.png,Ленина
Image 280.png,большевики
Image 281.png,создали
Image 282.png,социалистическое
Image 283.png,государство
Image 284.png,привело
Image 285.png,годам
Image 286.png,гражданской
Image 287.png,войны
Image 288.png,было
Image 289.png,образовано
Image 290.png,Союз
Image 291.png,Советских
Image 292.png,Социалистических
Image 293.png,Республик
Image 294.png,ознаменовало
Image 295.png,начало
Image 296.png,новой
Image 297.png,эпохи
Image 298.png,истории
Image 299.png,России
Image 300.png,всего
Image 301.png,мира
Image 302.png,Советский
Image 303.png,период
Image 304.png,стал
Image 305.png,эпохой
Image 306.png,грандиозных
Image 307.png,перемен
Image 308.png,Страна
Image 309.png,пережила
Image 310.png,быструю
Image 311.png,индустриализацию
Image 312.png,урбанизацию
Image 313.png,руководством
Image 314.png,Иосифа
Image 315.png,Сталина
Image 316.png,хотя
Image 317.png,ценой
Image 318.png,этому
Image 319.png,стали
Image 320.png,огромные
Image 321.png,человеческие
Image 322.png,жертвы
Image 323.png,Миллионы
Image 324.png,погибли
Image 325.png,время
Image 326.png,насильственной
Image 327.png,коллективизации
Image 328.png,голода
Image 329.png,массовых
Image 330.png,репрессий
Image 331.png,менее
Image 332.png,сверхдержавой
Image 333.png,сыграв
Image 334.png,решающую
Image 335.png,роль
Image 336.png,победе
Image 337.png,нацистской
Image 338.png,Германией
Image 339.png,Второй
Image 340.png,мировой
Image 341.png,войне
Image 342.png,Советский
Image 343.png,Союз
Image 344.png,вступил
Image 345.png,холодную
Image 346.png,войну
Image 347.png,соперничая
Image 348.png,создании
Image 349.png,ядерного
Image 350.png,оружия
Image 351.png,освоении
Image 352.png,космоса
Image 353.png,распространении
Image 354.png,своей
Image 355.png,идеологии
Image 356.png,всему
Image 357.png,миру
Image 358.png,Советское
Image 359.png,общество
Image 360.png,отличалось
Image 361.png,достижениями
Image 362.png,лишениями
Image 363.png,Государство
Image 364.png,активно
Image 365.png,вкладывало
Image 366.png,средства
Image 367.png,науку
Image 368.png,образование
Image 369.png,искусство
Image 370.png,благодаря
Image 371.png,чему
Image 372.png,появились
Image 373.png,всемирно
Image 374.png,известные
Image 375.png,учёные
Image 376.png,писатели
Image 377.png,композиторы
Image 378.png,политические
Image 379.png,репрессии
Image 380.png,цензура
Image 381.png,дефицит
Image 382.png,товаров
Image 383.png,первой
Image 384.png,необходимости
Image 385.png,были
Image 386.png,повседневной
Image 387.png,реальностью
Image 388.png,большинства
Image 389.png,граждан
Image 390.png,руководство
Image 391.png,Михаила
Image 392.png,Горбачёва
Image 393.png,принесло
Image 394.png,реформы
Image 395.png,гласности
Image 396.png,перестройки
Image 397.png,однако
Image 398.png,перемены
Image 399.png,привели
Image 400.png,распаду
Image 401.png,Советского
Image 402.png,Союза
Image 403.png,Распад
Image 404.png,эпохальным
Image 405.png,событием
Image 406.png,Россия
Image 407.png,независимым
Image 408.png,государством
Image 409.png,столкнулась
Image 410.png,огромными
Image 411.png,трудностями
Image 412.png,экономическим
Image 413.png,крахом
Image 414.png,политической
Image 415.png,нестабильностью
Image 416.png,резким
Image 417.png,снижением
Image 418.png,уровня
Image 419.png,жизни
Image 420.png,годы
Image 421.png,были
Image 422.png,временем
Image 423.png,хаоса
Image 424.png,лишений
Image 425.png,многих
Image 426.png,россиян
Image 427.png,страна
Image 428.png,переходила
Image 429.png,плановой
Image 430.png,экономики
Image 431.png,рыночной
Image 432.png,числа
Image 433.png,олигархов
Image 434.png,коррупция
Image 435.png,вооружённые
Image 436.png,конфликты
Image 437.png,например
Image 438.png,Чечне
Image 439.png,характеризовали
Image 440.png,десятилетие
Image 441.png,президентом
Image 442.png,Владимир
Image 443.png,Путин
Image 444.png,ознаменовав
Image 445.png,новый
Image 446.png,этап
Image 447.png,относительной
Image 448.png,стабильности
Image 449.png,экономического
Image 450.png,роста
Image 451.png,фоне
Image 452.png,роста
Image 453.png,нефть
Image 454.png,Путине
Image 455.png,российское
Image 456.png,государство
Image 457.png,стало
Image 458.png,более
Image 459.png,централизованным
Image 460.png,напористым
Image 461.png,внутри
Image 462.png,страны
Image 463.png,мировой
Image 464.png,арене
Image 465.png,Критики
Image 466.png,отмечают
Image 467.png,сворачивание
Image 468.png,демократических
Image 469.png,свобод
Image 470.png,преследование
Image 471.png,оппозиции
Image 472.png,ужесточение
Image 473.png,контроля
Image 474.png,Сторонники
Image 475.png,однако
Image 476.png,считают
Image 477.png,Путин
Image 478.png,восстановил
Image 479.png,порядок
Image 480.png,национальную
Image 481.png,гордость
Image 482.png,после
Image 483.png,беспокойного
Image 484.png,десятилетия
Image 485.png,Население
Image 486.png,России
Image 487.png,столь
Image 488.png,разнообразно
Image 489.png,география
Image 490.png,Хотя
Image 491.png,большинство
Image 492.png,составляют
Image 493.png,этнические
Image 494.png,русские
Image 495.png,стране
Image 496.png,проживают
Image 497.png,более
Image 498.png,народов
Image 499.png,Татары
Image 500.png,башкиры
Image 501.png,чеченцы
Image 502.png,десятки
Image 503.png,других
Image 504.png,народов
Image 505.png,вносят
Image 506.png,вклад
Image 507.png,культурную
Image 508.png,мозаику
Image 509.png,страны
Image 510.png,Русский
Image 511.png,язык
Image 512.png,богатой
Image 513.png,литературной
Image 514.png,традицией
Image 515.png,служит
Image 516.png,средством
Image 517.png,общения
Image 518.png,многих
Image 519.png,регионах
Image 520.png,сохраняются
Image 521.png,свои
Image 522.png,языки
Image 523.png,традиции
Image 524.png,Русская
Image 525.png,православная
Image 526.png,церковь
Image 527.png,после
Image 528.png,десятилетий
Image 529.png,притеснений
Image 530.png,советское
Image 531.png,время
Image 532.png,переживает
Image 533.png,возрождение
Image 534.png,играет
Image 535.png,важную
Image 536.png,роль
Image 537.png,современной
Image 538.png,жизни
Image 539.png,Русская
Image 540.png,культура
Image 541.png,знаменита
Image 542.png,всём
Image 543.png,мире
Image 544.png,особенности
Image 545.png,вкладом
Image 546.png,литературу
Image 547.png,музыку
Image 548.png,балет
Image 549.png,изобразительное
Image 550.png,искусство
Image 551.png,подарил
Image 552.png,миру
Image 553.png,литературных
Image 554.png,гениев
Image 555.png,Александра
Image 556.png,Пушкина
Image 557.png,Фёдора
Image 558.png,Достоевского
Image 559.png,Толстого
Image 560.png,Антона
Image 561.png,Чехова
Image 562.png,произведения
Image 563.png,исследуют
Image 564.png,глубины
Image 565.png,человеческой
Image 566.png,души
Image 567.png,читаются
Image 568.png,всём
Image 569.png,мире
Image 570.png,музыке
Image 571.png,Чайковский
Image 572.png,Рахманинов
Image 573.png,Стравинский
Image 574.png,оставили
Image 575.png,неизгладимый
Image 576.png,след
Image 577.png,Российский
Image 578.png,балет
Image 579.png,воплощённый
Image 580.png,Большим
Image 581.png,Мариинским
Image 582.png,театрами
Image 583.png,считается
Image 584.png,одним
Image 585.png,лучших
Image 586.png,мире
Image 587.png,Изобразительное
Image 588.png,искусство
Image 589.png,древних
Image 590.png,икон
Image 591.png,авангардных
Image 592.png,течений
Image 593.png,начала
Image 594.png,отражает
Image 595.png,сложную
Image 596.png,историю
Image 597.png,духовные
Image 598.png,поиски
Image 599.png,страны
Image 600.png,Современное
Image 601.png,российское
Image 602.png,общество
Image 603.png,сочетает
Image 604.png,себе
Image 605.png,старое
Image 606.png,новое
Image 607.png,Драматические
Image 608.png,перемены
Image 609.png,последнего
Image 610.png,отразились
Image 611.png,городах
Image 612.png,селе
Image 613.png,Москва
Image 614.png,СанктПетербург
Image 615.png,крупнейшие
Image 616.png,города
Image 617.png,страны
Image 618.png,современные
Image 619.png,мегаполисы
Image 620.png,мировыми
Image 621.png,музеями
Image 622.png,театрами
Image 623.png,университетами
Image 624.png,время
Image 625.png,многие
Image 626.png,сельские
Image 627.png,районы
Image 628.png,сталкиваются
Image 629.png,депопуляцией
Image 630.png,экономическим
Image 631.png,упадком
Image 632.png,стало
Image 633.png,следствием
Image 634.png,советских
Image 635.png,постсоветских
Image 636.png,преобразований
Image 637.png,Природа
Image 638.png,России
Image 639.png,впечатляет
Image 640.png,меньше
Image 641.png,история
Image 642.png,Уральских
Image 643.png,традиционной
Image 644.png,границы
Image 645.png,между
Image 646.png,Европой
Image 647.png,Азией
Image 648.png,огромных
Image 649.png,лесов
Image 650.png,Сибири
Image 651.png,берегов
Image 652.png,Байкала
Image 653.png,самого
Image 654.png,глубокого
Image 655.png,озера
Image 656.png,мире
Image 657.png,страна
Image 658.png,обладает
Image 659.png,множеством
Image 660.png,природных
Image 661.png,сокровищ
Image 662.png,Климат
Image 663.png,России
Image 664.png,крайне
Image 665.png,разнообразен
Image 666.png,ледяной
Image 667.png,арктической
Image 668.png,тундры
Image 669.png,севере
Image 670.png,более
Image 671.png,тёплых
Image 672.png,регионов
Image 673.png,Чёрного
Image 674.png,моря
Image 675.png,Флора
Image 676.png,фауна
Image 677.png,столь
Image 678.png,разнообразны
Image 679.png,однако
Image 680.png,экологические
Image 681.png,проблемы
Image 682.png,загрязнение
Image 683.png,вырубка
Image 684.png,лесов
Image 685.png,изменение
Image 686.png,климата
Image 687.png,представляют
Image 688.png,серьёзную
Image 689.png,угрозу
Image 690.png,Экономика
Image 691.png,России
Image 692.png,многом
Image 693.png,зависит
Image 694.png,природных
Image 695.png,ресурсов
Image 696.png,прежде
Image 697.png,всего
Image 698.png,нефти
Image 699.png,газа
Image 700.png,Эти
Image 701.png,отрасли
Image 702.png,обеспечивают
Image 703.png,экономический
Image 704.png,рост
Image 705.png,делают
Image 706.png,страну
Image 707.png,уязвимой
Image 708.png,колебаниям
Image 709.png,мировых
Image 710.png,сырьё
Image 711.png,Сельское
Image 712.png,хозяйство
Image 713.png,промышленность
Image 714.png,технологии
Image 715.png,также
Image 716.png,играют
Image 717.png,важную
Image 718.png,роль
Image 719.png,хотя
Image 720.png,уступают
Image 721.png,энергетике
Image 722.png,глобальной
Image 723.png,конкурентоспособности
Image 724.png,последние
Image 725.png,годы
Image 726.png,западные
Image 727.png,санкции
Image 728.png,введённые
Image 729.png,после
Image 730.png,присоединения
Image 731.png,Крыма
Image 732.png,участия
Image 733.png,международных
Image 734.png,конфликтах
Image 735.png,больше
Image 736.png,усложнили
Image 737.png,экономическую
Image 738.png,ситуацию
Image 739.png,Внешняя
Image 740.png,политика
Image 741.png,России
Image 742.png,определяется
Image 743.png,стремлением
Image 744.png,утвердить
Image 745.png,статус
Image 746.png,великой
Image 747.png,державы
Image 748.png,защищать
Image 749.png,свои
Image 750.png,интересы
Image 751.png,традиционной
Image 752.png,влияния
Image 753.png,приводит
Image 754.png,непростым
Image 755.png,отношениям
Image 756.png,соседями
Image 757.png,Западом
Image 758.png,Участие
Image 759.png,России
Image 760.png,конфликтах
Image 761.png,Украине
Image 762.png,Сирии
Image 763.png,также
Image 764.png,обвинения
Image 765.png,кибератаках
Image 766.png,информационных
Image 767.png,кампаниях
Image 768.png,усилили
Image 769.png,напряжённость
Image 770.png,Евросоюзом
Image 771.png,этом
Image 772.png,Россия
Image 773.png,стремится
Image 774.png,сближению
Image 775.png,Китаем
Image 776.png,другими
Image 777.png,незападными
Image 778.png,странами
Image 779.png,позиционируя
Image 780.png,себя
Image 781.png,ключевого
Image 782.png,игрока
Image 783.png,многополярном
Image 784.png,мире
Image 785.png,Несмотря
Image 786.png,многочисленные
Image 787.png,трудности
Image 788.png,Россия
Image 789.png,остаётся
Image 790.png,страной
Image 791.png,огромного
Image 792.png,потенциала
Image 793.png,устойчивости
Image 794.png,народ
Image 795.png,пережил
Image 796.png,войны
Image 797.png,революции
Image 798.png,лишения
Image 799.png,создал
Image 800.png,выдающиеся
Image 801.png,достижения
Image 802.png,науке
Image 803.png,культуре
Image 804.png,искусстве
Image 805.png,Российская
Image 806.png,космическая
Image 807.png,программа
Image 808.png,первой
Image 809.png,отправившая
Image 810.png,человека
Image 811.png,космос
Image 812.png,Юрия
Image 813.png,Гагарина
Image 814.png,сегодня
Image 815.png,играет
Image 816.png,важную
Image 817.png,роль
Image 818.png,мировой
Image 819.png,космонавтике
Image 820.png,Образование
Image 821.png,наука
Image 822.png,всегда
Image 823.png,высоко
Image 824.png,ценились
Image 825.png,российском
Image 826.png,обществе
Image 827.png,Страна
Image 828.png,может
Image 829.png,гордиться
Image 830.png,многочисленными
Image 831.png,университетами
Image 832.png,научноисследовательскими
Image 833.png,институтами
Image 834.png,российские
Image 835.png,математики
Image 836.png,физики
Image 837.png,инженеры
Image 838.png,внесли
Image 839.png,значительный
Image 840.png,вклад
Image 841.png,мировую
Image 842.png,науку
Image 843.png,менее
Image 844.png,система
Image 845.png,образования
Image 846.png,сталкивается
Image 847.png,проблемами
Image 848.png,недостаточным
Image 849.png,финансированием
Image 850.png,утечкой
Image 851.png,мозгов
Image 852.png,необходимостью
Image 853.png,модернизировать
Image 854.png,программы
Image 855.png,обучения
Image 856.png,требования
Image 857.png,меняющегося
Image 858.png,мира
Image 859.png,Повседневная
Image 860.png,жизнь
Image 861.png,России
Image 862.png,наполнена
Image 863.png,чувством
Image 864.png,общности
Image 865.png,традициями
Image 866.png,Семья
Image 867.png,остаётся
Image 868.png,важнейшим
Image 869.png,институтом
Image 870.png,гостеприимство
Image 871.png,одной
Image 872.png,основных
Image 873.png,ценностей
Image 874.png,Русская
Image 875.png,кухня
Image 876.png,отражает
Image 877.png,географию
Image 878.png,историю
Image 879.png,страны
Image 880.png,борщ
Image 881.png,пельмени
Image 882.png,блины
Image 883.png,икра
Image 884.png,любимы
Image 885.png,уголках
Image 886.png,России
Image 887.png,Чаепитие
Image 888.png,важный
Image 889.png,социальный
Image 890.png,ритуал
Image 891.png,часто
Image 892.png,сопровождающийся
Image 893.png,сладостями
Image 894.png,выпечкой
Image 895.png,Праздники
Image 896.png,фестивали
Image 897.png,религиозные
Image 898.png,светские
Image 899.png,отмечаются
Image 900.png,размахом
Image 901.png,Нового
Image 902.png,Победы
Image 903.png,Масленицы
Image 904.png,традиционного
Image 905.png,праздника
Image 906.png,проводов
Image 907.png,зимы
Image 908.png,последние
Image 909.png,годы
Image 910.png,Россия
Image 911.png,столкнулась
Image 912.png,серьёзными
Image 913.png,демографическими
Image 914.png,вызовами
Image 915.png,Население
Image 916.png,сокращается
Image 917.png,низкой
Image 918.png,рождаемости
Image 919.png,высокой
Image 920.png,смертности
Image 921.png,эмиграции
Image 922.png,Правительство
Image 923.png,предпринимает
Image 924.png,меры
Image 925.png,поддержке
Image 926.png,семей
Image 927.png,улучшению
Image 928.png,системы
Image 929.png,здравоохранения
Image 930.png,однако
Image 931.png,демографический
Image 932.png,кризис
Image 933.png,остаётся
Image 934.png,сложной
Image 935.png,проблемой
Image 936.png,Миграция
Image 937.png,бывших
Image 938.png,советских
Image 939.png,республик
Image 940.png,частично
Image 941.png,компенсирует
Image 942.png,убыль
Image 943.png,населения
Image 944.png,способствует
Image 945.png,многонациональному
Image 946.png,характеру
Image 947.png,страны
Image 948.png,женщин
Image 949.png,России
Image 950.png,менялась
Image 951.png,временем
Image 952.png,играют
Image 953.png,важную
Image 954.png,роль
Image 955.png,экономике
Image 956.png,образовании
Image 957.png,общественной
Image 958.png,жизни
Image 959.png,Однако
Image 960.png,традиционные
Image 961.png,взгляды
Image 962.png,сохраняются
Image 963.png,такие
Image 964.png,вопросы
Image 965.png,гендерное
Image 966.png,равенство
Image 967.png,домашнее
Image 968.png,насилие
Image 969.png,представительство
Image 970.png,женщин
Image 971.png,остаются
Image 972.png,предметом
Image 973.png,общественного
Image 974.png,обсуждения
Image 975.png,государственной
Image 976.png,политики
Image 977.png,Технологии
Image 978.png,интернет
Image 979.png,преобразили
Image 980.png,российское
Image 981.png,общество
Image 982.png,особенно
Image 983.png,среди
Image 984.png,молодёжи
Image 985.png,Социальные
Image 986.png,сети
Image 987.png,онлайнновости
Image 988.png,цифровые
Image 989.png,развлечения
Image 990.png,широко
Image 991.png,распространены
Image 992.png,хотя
Image 993.png,государство
Image 994.png,ужесточает
Image 995.png,контроль
Image 996.png,интернетконтентом
Image 997.png,борьбу
Image 998.png,инакомыслием
Image 999.png,Напряжённость
Image 1000.png,между
Image 1001.png,открытостью
Image 1002.png,контролем
Image 1003.png,постоянная
Image 1004.png,российской
Image 1005.png,истории
Image 1006.png,находящая
Image 1007.png,отражение
Image 1008.png,современных
Image 1009.png,спорах
Image 1010.png,свободе
Image 1011.png,слова
Image 1012.png,гражданском
Image 1013.png,обществе
Image 1014.png,Будущее
Image 1015.png,России
Image 1016.png,остаётся
Image 1017.png,неопределённым
Image 1018.png,формируют
Image 1019.png,внутренние
Image 1020.png,процессы
Image 1021.png,мировые
Image 1022.png,тенденции
Image 1023.png,Диверсификация
Image 1024.png,экономики
Image 1025.png,технологические
Image 1026.png,инновации
Image 1027.png,политические
Image 1028.png,реформы
Image 1029.png,считаются
Image 1030.png,необходимыми
Image 1031.png,долгосрочной
Image 1032.png,стабильности
Image 1033.png,процветания
Image 1034.png,время
Image 1035.png,такие
Image 1036.png,проблемы
Image 1037.png,коррупция
Image 1038.png,неравенство
Image 1039.png,старение
Image 1040.png,населения
Image 1041.png,создают
Image 1042.png,серьёзные
Image 1043.png,риски
Image 1044.png,Отношения
Image 1045.png,страны
Image 1046.png,Западом
Image 1047.png,вероятно
Image 1048.png,останутся
Image 1049.png,сложными
Image 1050.png,элементами
Image 1051.png,сотрудничества
Image 1052.png,соперничества
Image 1053.png,заключение
Image 1054.png,можно
Image 1055.png,сказать
Image 1056.png,Россия
Image 1057.png,страна
Image 1058.png,контрастов
Image 1059.png,противоречий
Image 1060.png,древняя
Image 1061.png,современная
Image 1062.png,европейская
Image 1063.png,уникальная
Image 1064.png,прошедшая
Image 1065.png,через
Image 1066.png,трудности
Image 1067.png,сохранившая
Image 1068.png,удивительную
Image 1069.png,креативность
Image 1070.png,стойкость
Image 1071.png,необъятная
Image 1072.png,география
Image 1073.png,бурная
Image 1074.png,история
Image 1075.png,богатая
Image 1076.png,культура
Image 1077.png,создали
Image 1078.png,общество
Image 1079.png,имеющее
Image 1080.png,аналогов
Image 1081.png,Решая
Image 1082.png,задачи
Image 1083.png,века
Image 1084.png,Россия
Image 1085.png,остаётся
Image 1086.png,ключевым
Image 1087.png,игроком
Image 1088.png,мировой
Image 1089.png,арене
Image 1090.png,действия
Image 1091.png,достижения
Image 1092.png,стремления
Image 1093.png,долго
Image 1094.png,будут
Image 1095.png,влиять
Image 1096.png,мировой
Image 1097.png,порядок
Image 1098.png,Иммиграция
Image 1099.png,явление
Image 1100.png,формировало
Image 1101.png,общества
Image 1102.png,цивилизации
Image 1103.png,протяжении
Image 1104.png,веков
Image 1105.png,представляет
Image 1106.png,собой
Image 1107.png,перемещение
Image 1108.png,людей
Image 1109.png,одной
Image 1110.png,страны
Image 1111.png,другую
Image 1112.png,намерением
Image 1113.png,временно
Image 1114.png,постоянно
Image 1115.png,обосноваться
Image 1116.png,новом
Image 1117.png,месте
Image 1118.png,Мотивы
Image 1119.png,иммиграции
Image 1120.png,сложны
Image 1121.png,разнообразны
Image 1122.png,экономические
Image 1123.png,возможности
Image 1124.png,воссоединение
Image 1125.png,семьёй
Image 1126.png,бегство
Image 1127.png,преследований
Image 1128.png,конфликтов
Image 1129.png,получение
Image 1130.png,образования
Image 1131.png,стремление
Image 1132.png,лучшему
Image 1133.png,качеству
Image 1134.png,жизни
Image 1135.png,современном
Image 1136.png,взаимосвязанном
Image 1137.png,мире
Image 1138.png,иммиграция
Image 1139.png,остаётся
Image 1140.png,темой
Image 1141.png,значительной
Image 1142.png,политической
Image 1143.png,социальной
Image 1144.png,экономической
Image 1145.png,важности
Image 1146.png,оказывая
Image 1147.png,влияние
Image 1148.png,страны
Image 1149.png,принимающие
Image 1150.png,иммигрантов
Image 1151.png,страны
Image 1152.png,откуда
Image 1153.png,уезжают
Image 1154.png,Исторически
Image 1155.png,иммиграция
Image 1156.png,играла
Image 1157.png,ключевую
Image 1158.png,роль
Image 1159.png,развитии
Image 1160.png,государств
Image 1161.png,Например
Image 1162.png,часто
Image 1163.png,называют
Image 1164.png,нацией
Image 1165.png,иммигрантов
Image 1166.png,волны
Image 1167.png,прибывших
Image 1168.png,Европы
Image 1169.png,Азии
Image 1170.png,Африки
Image 1171.png,Латинской
Image 1172.png,Америки
Image 1173.png,способствовали
Image 1174.png,культурному
Image 1175.png,разнообразию
Image 1176.png,экономическому
Image 1177.png,росту
Image 1178.png,страны
Image 1179.png,Аналогично
Image 1180.png,такие
Image 1181.png,страны
Image 1182.png,Канада
Image 1183.png,Австралия
Image 1184.png,Аргентина
Image 1185.png,во
Image 1186.png,многом
Image 1187.png,сформированы
Image 1188.png,массовой
Image 1189.png,иммиграцией
Image 1190.png,привело
Image 1191.png,появлению
Image 1192.png,мультикультурных
Image 1193.png,обществ
Image 1194.png,широким
Image 1195.png,спектром
Image 1196.png,традиций
Image 1197.png,языков
Image 1198.png,верований
Image 1199.png,Причины
Image 1200.png,которым
Image 1201.png,люди
Image 1202.png,решают
Image 1203.png,покинуть
Image 1204.png,родину
Image 1205.png,обычно
Image 1206.png,делят
Image 1207.png,отталкивающие
Image 1208.png,притягивающие
Image 1209.png,факторы
Image 1210.png,Отталкивающие
Image 1211.png,обстоятельства
Image 1212.png,вынуждают
Image 1213.png,людей
Image 1214.png,уезжать
Image 1215.png,войны
Image 1216.png,бедность
Image 1217.png,политическая
Image 1218.png,нестабильность
Image 1219.png,природные
Image 1220.png,катастрофы
Image 1221.png,отсутствие
Image 1222.png,перспектив
Image 1223.png,Притягивающие
Image 1224.png,факторы
Image 1225.png,манят
Image 1226.png,другую
Image 1227.png,страну
Image 1228.png,лучшие
Image 1229.png,рабочие
Image 1230.png,места
Image 1231.png,стабильность
Image 1232.png,безопасность
Image 1233.png,высокий
